TransponderHexCode,Survived
01103FB7D9,0
01103FC12B,1
01103F3D99,1
01103F7EFA,1
01103F4010,1
01103FE690,0
01103F404A,1
01103FE25A,0
01103FA15F,0
01103FC816,0
01103F3C5F,1
01103FC2AF,0
01103FDF11,1
01103FB422,1
01103F5614,0
01103F62A9,0
01103F82A5,1
3B0018B868,1
01103FE221,1
3B00188697,0
3B0018519C,1
01103FD7FC,0
3B00193F5A,1
3B00187E18,0
01103FAE27,1
011016FFC0,0
01103FD8F9,1
01103F641C,0
01103F4DD0,0
01103F4866,0
3B0018C2B9,1
01103FE46B,0
01103FDD4E,0
01103FE2A6,1
0700EDE465,0
01103F3D42,1
3B00189A9F,1
01103FAB74,0
01103FE395,1
3B00187F8D,0
01103F6971,0
01103FDC06,0
3B00181532,1
01103FDD7E,1
01103FE6BB,0
01103FD7DD,0
01103F3E01,1
01103FE76D,0
3B001856A5,0
01103FE38B,1
01103FDFE5,1
3B00181BC1,0
01103FD9DF,1
01103FC250,1
01103F6215,1
01103FE254,1
3B0018220E,1
01103F8DDA,1
01103F75F6,1
3B00188F26,1
0110174D98,1
01103F4270,1
01103FB054,1
3B00188B0E,1
01103FE1DD,1
3B001863B0,1
01103FAD87,0
01103FDF17,0
01103FD08F,0
01103FDB14,0
01103F8E93,1
0110171BB9,1
01103FBA7C,0
01103F692D,0
0110175CF7,1
01103FE230,1
3B0018A4C3,1
3B001878E9,0
01103FD9FD,0
01103FE0CE,1
3B00189685,0
01103FBCBC,1
01103FE316,1
3B0018AFA2,1
01103FC52C,0
01103FDC1D,0
01103FE3A3,1
3B0018AB69,1
01103FB276,1
3B0018D242,0
3B00185576,1
3B0018E829,0
3B00188763,1
01103FE4F7,1
3B0018EE3F,0
01103FDBEF,0
01103FC468,1
01103F3D08,0
3B0018FE65,1
3B00191B19,1
3B00181AAB,1
01103F3BC1,0
3B001869F8,1
3B00191A7D,0
01103F84FD,1
0110175DA5,0
01103FE565,1
01103FE56E,1
3B00187872,1
01103FBC46,1
01103FE0F7,1
01103FE0A4,0
3B001903B2,0
01103FD0A8,1
01103FDB64,1
01103F8AD2,0
01103F57D3,1
01103FD876,1
3B0018941D,1
3B0018CDB0,0
01103F630A,0
01103F61A9,1
01103FDFE4,1
01103FBBD7,1
3B004B62CA,0
01103FB7D8,0
01103F5611,1
01103FCAE4,1
01103FD1CF,1
01103FAAB7,1
01103F8CA1,0
01103F3F50,0
01103FDC66,0
01103FD9AE,1
01103F8695,1
01103F4C53,1
011016FC5B,0
01103FE6F0,0
